address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Lijzijde 6,1034 KP Amsterdam,Vandaag,€ 495.000 kosten koper,94 m²,C,,1977,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Vaillant (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-04-2026),Afgekocht tot 01-04-2026,"Aan rustige weg, beschutte ligging en in woonwijk",,Openbaar parkeren,"Achtertuin, voortuin en zonneterras",,,
Mijndenhof 16,1106 GM Amsterdam,9 september 2022,€ 450.000 kosten koper,124 m²,B,,1981,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Grotendeels dubbelglas,Cv-ketel,Cv-ketel,"Nefit Smartline Basic (gas gestookt combiketel, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-02-2031,Beschutte ligging en in woonwijk,Frans balkon aanwezig,Openbaar parkeren,Achtertuin en voortuin,,,
Fluessenlaan 16,1060 PP Amsterdam,13 september 2022,€ 599.000 kosten koper,138 m²,B,,1998,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,3 woonlagen,"Dakisolatie, dubbel glas en muurisolatie",Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2012, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-03-2047,"Aan rustige weg, in woonwijk en vrij uitzicht",,Openbaar parkeren,Achtertuin,,,
Watermaalpad 33,1066 WX Amsterdam,9 september 2022,€ 885.000 kosten koper,162 m²,A,,1995,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas HR-107 ketel ( combiketel uit 2011, eigendom)",Eigendom belast met erfpacht (einddatum erfpacht: 30-08-2044),,"Aan rustige weg, in woonwijk en vrij uitzicht",,Op eigen terrein en openbaar parkeren,Achtertuin en voortuin,,,
Joan Muyskenweg 23 C,1096 CJ Amsterdam,9 september 2022,€ 575.011 kosten koper,84 m²,C,,1989,3 kamers (1 slaapkamer),1 badkamer,"Ligbad, douche en toilet",1 woonlaag en een kelder,"Dakisolatie, dubbel glas, geen spouw, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"HR (gas gestookt combiketel uit 2017, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-03-2072),€ 20 per jaar,"Aan vaarwater, aan water en vrij uitzicht",,Openbaar parkeren en parkeervergunningen,Zonneterras,,,
Jan Vrijmanstraat 216,1087 MP Amsterdam,10 september 2022,€ 1.250.000 kosten koper,202 m²,A,,2016,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,Ligbad en toilet,4 woonlagen,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming en gehele vloerverwarming,Centrale voorziening en stadsverwarming,,Gemeentelijke erfpacht,Afgekocht tot 16-10-2065,Aan rustige weg en in woonwijk,Dakterras aanwezig,Op eigen terrein,Achtertuin en voortuin,,,
Johannes J. Glasweg 101,1035 ST Amsterdam,12 september 2022,€ 425.000 kosten koper,96 m²,A,,1991,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,2 woonlagen en een vliering,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2017, eigendom",Eigendom belast met erfpacht,Eeuwigdurend afgekocht,,,Op eigen terrein en openbaar parkeren,Achtertuin en voortuin,,,
Nathan F. Israëlweg 19,1035 SB Amsterdam,12 september 2022,€ 495.000 kosten koper,109 m²,A,,1990,4 kamers (3 slaapkamers),1 badkamer,"Ligbad, douche en toilet",3 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,Combiketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 29-02-2040),Afgekocht tot 29-02-2040,Aan rustige weg en in woonwijk,,Op eigen terrein,Achtertuin,,,
Maxwellstraat 12,1097 EW Amsterdam,15 september 2022,€ 1.375.000 kosten koper,158 m²,E,,1953,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, douche en 2 toiletten",3 woonlagen,Dakisolatie en dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2022, eigendom)",Zie akte,,Aan rustige weg en in woonwijk,Balkon aanwezig,Openbaar parkeren en parkeervergunningen,Achtertuin,,,
Annabellaweg 31,1036 KR Amsterdam,15 september 2022,€ 725.000 kosten koper,153 m²,A,,2012,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,Toilet,3 woonlagen,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2062),"€ 3.455,77 per jaar","Aan water, in woonwijk en open ligging",,Openbaar parkeren,Achtertuin,,,
