address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Mercatorstraat 61 3,1056 PZ Amsterdam,,,60 m²,,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,4 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Gemeentelijke erfpacht,Afgekocht tot 31-08-2054,In woonwijk,Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Wagenaarstraat 28 A,1093 CR Amsterdam,,,57 m²,B,Bovenwoning (appartement),1900,3 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2013, eigendom)",Eigendom belast met erfpacht,Afgekocht tot 30-04-2062,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Albert Cuypstraat 139 2,1072 CS Amsterdam,,,40 m²,D,Bovenwoning (appartement),1890,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Volle eigendom,,In centrum,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Zuiderzeepark 42,1024 MG Amsterdam,,,82 m²,A,Bovenwoning (appartement),1995,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-03-2044,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
Lamarckhof 5 -I,1098 TJ Amsterdam,,,68 m²,D,Portiekflat,1955,4 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,,,,,Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,,,,,
Bajeskwartier | The Robin (Bouwnr. 37),1096 AG Amsterdam,,,44 m²,,Portiekflat (appartement),2022,1 kamer (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Volledig geïsoleerd,Gehele vloerverwarming,Centrale voorziening,,,,In woonwijk,,Betaald parkeren,,,,
Van Ostadestraat 394 II,1074 XB Amsterdam,,,43 m²,E,Bovenwoning (appartement),1913,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas en gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 13-10-2037),"€ 43,09 per jaar",Aan rustige weg en in woonwijk,Balkon aanwezig en frans balkon aanwezig,,,,,
Maarten Jansz. Kosterstraat 13 I,1017 VX Amsterdam,,,127 m²,,Bovenwoning (appartement),1725,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,3 woonlagen,Vloerisolatie,Cv-ketel,Cv-ketel,"Valiant (gas gestookt combiketel uit 2011, eigendom)",Volle eigendom,,Aan rustige weg,Dakterras aanwezig,,,,,
Bijlmerdreef 995 + PP,1103 TW Amsterdam,,,134 m²,A,Bovenwoning (appartement),2005,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
